case,location,city or county,date,summary,fatalities,injured,total_victims,venue,prior signs of mental health issues,mental health - details,weapons obtained legally,where obtained,type of weapons,weapon details,race,gender,sources,mental health sources,latitude,longitude,type,year
,Louisiana,New Orleans,12/29/14,Poydras and Bolivar,0,4,4,,,,,,,,,,,,,,,
,California,Los Angeles,12/27/14,8800 block of South Figueroa Street,1,3,4,,,,,,,,,,,,,,,
,California,Sacramento,12/27/14,4000 block of May Street,0,4,4,,,,,,,,,,,,,,,
,Illinois,East St. Louis,12/26/14,2500 block of Summit Avenue,1,3,4,,,,,,,,,,,,,,,
,Missouri,St. Louis,12/24/14,18th and Pine,1,3,4,,,,,,,,,,,,,,,
,Kentucky,Winchester,12/23/14,260 Oxford Drive,1,3,4,,,,,,,,,,,,,,,
,Michigan,Detroit,12/22/14,Charlevoix and Philip,1,3,4,,,,,,,,,,,,,,,
,New York,Webster,12/22/14,191 Lake Road,4,2,6,,,,,,,,,,,,,,,
,Illinois,Chicago,12/22/14,5700 block of South Green Street,0,5,5,,,,,,,,,,,,,,,
,Florida,Sarasota,12/21/14,4034 N Washington Blvd,2,2,4,,,,,,,,,,,,,,,
,Mississippi,Waynesboro,12/21/14,Central Avenue,1,4,5,,,,,,,,,,,,,,,
,Illinois,Calumet City,12/21/14,600 block of Escanba,1,8,9,,,,,,,,,,,,,,,
,Illinois,Rockford,12/20/14,3200 block of Montrose Avenue,4,0,4,,,,,,,,,,,,,,,
,New Jersey,Elizabeth,12/16/14,Anna Street,0,4,4,,,,,,,,,,,,,,,
,Pennsylvania,Lansdale,12/15/14,100 block of West 5th St,7,0,7,,,,,,,,,,,,,,,
,Florida,Miami,12/14/14,1311 Northwest 2nd Avenue,1,4,5,,,,,,,,,,,,,,,
,Florida,Tampa,12/13/14,810 E. Skagway Ave.,0,5,5,,,,,,,,,,,,,,,
,Oregon,Portland,12/12/14,717 North Killingsworth Court,0,4,4,,,,,,,,,,,,,,,
,Indiana,South Bend,12/7/14,16000 block of Roosevelt Road,0,4,4,,,,,,,,,,,,,,,
,Missouri,St. Louis,12/2/14,6000 block of Virginia Avenue,1,5,6,,,,,,,,,,,,,,,
,Virginia,Newport News,12/2/14,6128 Jefferson Ave ,0,5,5,,,,,,,,,,,,,,,
,New York,Brooklyn,11/30/14,375 Remsen Avenue,0,4,4,,,,,,,,,,,,,,,
,Tennessee,Chattanooga,11/30/14,2412 East 13th Street ,0,5,5,,,,,,,,,,,,,,,
,New Jersey,Newark,11/29/14,348 S Orange Ave,1,3,4,,,,,,,,,,,,,,,
